JUDET,TOTAL ,Sub 25 ani,25 - 29 ani,30 - 39 ani,40 - 49 ani,50 - 55 ani,peste 55 ani
ALBA,5443,1248,501,842,1111,850,891
ARAD,2348,375,103,277,522,544,527
ARGES,8082,1096,520,1414,2063,1616,1373
BACAU,5277,884,324,664,1249,1086,1070
BIHOR,2859,483,170,379,659,474,694
BISTRITA NASAUD,4677,897,311,474,1074,1005,916
BOTOSANI,3305,592,118,328,709,704,854
BRAILA,3447,575,282,404,784,537,865
BRASOV,5352,1148,456,964,1135,811,838
BUZAU,7346,690,273,968,1845,1803,1767
CALARASI,3425,541,137,656,873,591,627
CARAS-SEVERIN,2320,352,124,337,531,507,469
CLUJ,4238,531,248,739,1015,897,808
CONSTANTA,5453,1104,363,702,1143,834,1307
COVASNA,3264,1229,260,455,588,389,343
DAMBOVITA,4667,827,369,649,1044,850,928
DOLJ,16408,2464,1369,2354,3976,3252,2993
GALATI,9317,2071,777,939,2024,1545,1961
GIURGIU,2186,464,211,234,474,485,318
GORJ,4263,790,267,520,909,956,821
HARGHITA,5017,1189,403,937,1099,705,684
HUNEDOARA,6278,917,439,986,1612,1372,952
IALOMITA,3619,539,257,448,779,640,956
IASI,8338,1075,316,1052,2090,1706,2099
ILFOV,839,205,58,117,187,162,110
MARAMURES,3397,765,282,561,766,545,478
MEHEDINTI,5580,577,294,716,1450,1305,1238
BUCURESTI,12963,205,1199,2858,3533,2944,2224
MURES,6412,1484,552,1146,1483,797,950
NEAMT,6014,770,297,816,1529,1279,1323
OLT,7920,1253,913,1296,1627,1354,1477
PRAHOVA,5778,1049,290,795,1398,1237,1009
SALAJ,4555,850,343,949,1086,645,682
SATU MARE,4654,732,299,1057,1282,660,624
SIBIU,3940,709,335,637,946,582,731
SUCEAVA,10375,1853,728,1836,2565,1484,1909
TELEORMAN,8583,1304,639,1313,1973,1668,1686
TIMIS,2831,594,161,444,667,514,451
TULCEA,2572,365,426,368,391,547,475
VALCEA,4953,870,417,562,1100,1109,895
VASLUI,8529,510,252,1182,2598,2072,1915
VRANCEA,5044,871,306,755,1146,1037,929
TOTAL,231868,37047,16389,35130,55035,44100,44167
