JUDET,TOTAL ,Sub 25 ani,25 - 29 ani,30 - 39 ani,40 - 49 ani,50 - 55 ani,peste 55 ani
ALBA,5060,1122,445,786,1070,798,839
ARAD,2354,370,100,299,536,524,525
ARGES,8007,1152,528,1395,1989,1557,1386
BACAU,5396,873,322,670,1269,1127,1135
BIHOR,2728,451,171,382,627,464,633
BISTRITA NASAUD,4171,808,272,460,930,879,822
BOTOSANI,3323,633,124,320,730,678,838
BRAILA,3370,543,252,407,773,540,855
BRASOV,5210,1157,390,923,1101,796,843
BUZAU,7274,662,255,979,1819,1791,1768
CALARASI,3230,462,129,644,831,544,620
CARAS-SEVERIN,2336,377,113,329,513,509,495
CLUJ,4100,497,228,744,967,875,789
CONSTANTA,4865,1083,335,637,963,700,1147
COVASNA,3346,1317,306,454,569,364,336
DAMBOVITA,4540,776,324,642,1024,853,921
DOLJ,15644,2127,1096,2276,3908,3287,2950
GALATI,10390,2056,782,1065,2334,1788,2365
GIURGIU,2102,413,188,224,485,486,306
GORJ,4098,754,246,492,894,910,802
HARGHITA,4693,1111,364,891,1038,675,614
HUNEDOARA,5826,876,402,914,1460,1253,921
IALOMITA,3453,489,226,416,775,621,926
IASI,8176,1071,309,1020,2044,1670,2062
ILFOV,958,218,67,122,220,183,148
MARAMURES,3314,754,257,541,742,536,484
MEHEDINTI,5356,460,234,694,1460,1294,1214
BUCURESTI,13037,207,1185,2857,3575,2967,2246
MURES,5950,1314,493,1070,1378,781,914
NEAMT,5636,692,276,780,1437,1201,1250
OLT,7378,888,708,895,1659,1606,1622
PRAHOVA,5766,1075,299,797,1383,1244,968
SALAJ,4384,841,309,916,1053,609,656
SATU MARE,4482,693,281,1017,1209,655,627
SIBIU,3572,617,295,583,878,525,674
SUCEAVA,10061,1796,695,1749,2515,1481,1825
TELEORMAN,8450,1197,590,1315,1961,1673,1714
TIMIS,2808,587,177,459,648,489,448
TULCEA,2472,523,180,225,563,560,421
VALCEA,4639,774,345,538,1047,1082,853
VASLUI,8515,524,257,1164,2561,2092,1917
VRANCEA,4954,851,293,732,1131,1018,929
TOTAL,225424,35191,14848,33823,54069,43685,43808
