JUDET,TOTAL ,Sub 25 ani,25 - 29 ani,30 - 39 ani,40 - 49 ani,50 - 55 ani,peste 55 ani
ALBA,5797,1286,567,923,1188,920,913
ARAD,2178,188,93,294,560,526,517
ARGES,8114,1029,548,1400,2049,1662,1426
BACAU,5337,880,331,656,1256,1116,1098
BIHOR,2844,415,194,405,659,498,673
BISTRITA NASAUD,3722,594,229,488,882,658,871
BOTOSANI,3384,482,122,347,775,772,886
BRAILA,3532,593,310,423,794,524,888
BRASOV,5833,1219,553,1056,1235,714,1056
BUZAU,7657,691,297,1029,1896,1895,1849
CALARASI,3642,411,150,728,962,581,810
CARAS-SEVERIN,2416,314,123,353,583,535,508
CLUJ,4322,522,262,776,1046,886,830
CONSTANTA,6302,970,372,807,1480,1102,1571
COVASNA,3212,1150,267,474,580,415,326
DAMBOVITA,5004,890,440,728,1133,875,938
DOLJ,16799,2326,1434,2429,4070,3451,3089
GALATI,10158,1958,830,1049,2331,1758,2232
GIURGIU,2204,466,232,239,475,475,317
GORJ,4308,714,295,526,963,986,824
HARGHITA,5409,1134,442,1041,1248,792,752
HUNEDOARA,6170,892,445,1002,1553,1312,966
IALOMITA,3970,626,322,473,879,668,1002
IASI,8475,1059,374,1150,2216,1468,2208
ILFOV,887,156,58,120,220,177,156
MARAMURES,3453,752,288,601,801,551,460
MEHEDINTI,5783,631,346,735,1457,1359,1255
BUCURESTI,12798,193,1191,2829,3469,2911,2205
MURES,6819,1568,606,1213,1566,834,1032
NEAMT,6081,707,266,844,1579,1334,1351
OLT,8194,1339,864,972,1733,1689,1597
PRAHOVA,5876,1042,353,808,1409,1242,1022
SALAJ,4627,793,349,980,1132,703,670
SATU MARE,4920,753,333,1095,1388,709,642
SIBIU,4353,817,399,739,1007,615,776
SUCEAVA,10819,1797,725,1937,2734,1608,2018
TELEORMAN,9216,1336,694,1433,2140,1825,1788
TIMIS,2661,432,145,436,648,547,453
TULCEA,2967,528,385,428,526,599,501
VALCEA,4757,790,416,587,1042,1073,849
VASLUI,9098,514,259,1265,2770,2266,2024
VRANCEA,4966,862,254,756,1164,1065,865
TOTAL,239064,35819,17163,36574,57598,45696,46214
