JUDET,TOTAL ,Sub 25 ani,25 - 29 ani,30 - 39 ani,40 - 49 ani,50 - 55 ani,peste 55 ani
ALBA,5656,1328,555,883,1147,861,882
ARAD,2357,375,104,277,531,564,506
ARGES,8146,1125,559,1400,2019,1628,1415
BACAU,5359,918,340,664,1244,1100,1093
BIHOR,2959,466,196,397,692,511,697
BISTRITA NASAUD,4882,929,336,494,1117,865,1141
BOTOSANI,3376,577,113,335,744,733,874
BRAILA,3542,619,319,419,793,523,869
BRASOV,5808,1247,545,1051,1220,872,873
BUZAU,7493,717,284,990,1905,1829,1768
CALARASI,3641,525,172,668,907,637,732
CARAS-SEVERIN,2354,319,127,349,561,508,490
CLUJ,4344,557,256,762,1051,890,828
CONSTANTA,6095,1074,360,771,1379,1031,1480
COVASNA,3200,1214,261,453,558,388,326
DAMBOVITA,4653,858,381,670,1029,832,883
DOLJ,16648,2457,1392,2418,4058,3339,2984
GALATI,10160,2069,806,1033,2296,1750,2206
GIURGIU,2235,477,240,244,590,369,315
GORJ,4242,739,282,520,920,957,824
HARGHITA,5249,1217,429,997,1143,750,713
HUNEDOARA,6216,918,430,990,1567,1354,957
IALOMITA,3837,594,292,467,837,657,990
IASI,8500,1098,392,1142,2218,1473,2177
ILFOV,786,165,53,111,190,151,116
MARAMURES,3548,786,314,587,802,565,494
MEHEDINTI,5684,629,330,729,1428,1330,1238
BUCURESTI,12824,198,1200,2830,3486,2914,2196
MURES,6713,1549,591,1221,1536,805,1011
NEAMT,6123,717,264,819,1576,1351,1396
OLT,8208,1183,817,1000,1731,1741,1736
PRAHOVA,5969,1136,351,804,1423,1252,1003
SALAJ,4669,859,346,982,1128,678,676
SATU MARE,4796,733,320,1077,1340,685,641
SIBIU,4255,802,360,693,1004,628,768
SUCEAVA,10539,1868,728,1884,2587,1535,1937
TELEORMAN,8881,1351,658,1360,2034,1744,1734
TIMIS,2752,556,151,430,642,526,447
TULCEA,2882,447,309,471,555,594,506
VALCEA,4946,847,427,576,1078,1121,897
VASLUI,8926,519,261,1245,2705,2192,2004
VRANCEA,5059,843,306,753,1148,1053,956
TOTAL,238512,37605,16957,35966,56919,45286,45779
