JUDET,TOTAL ,Sub 25 ani,25 - 29 ani,30 - 39 ani,40 - 49 ani,50 - 55 ani,peste 55 ani
ALBA,5795,1035,554,978,1268,988,972
ARAD,2278,174,103,303,599,563,536
ARGES,8289,891,586,1427,2108,1750,1527
BACAU,5322,703,328,645,1287,1224,1135
BIHOR,2933,376,196,405,679,559,718
BISTRITA NASAUD,3593,373,202,545,872,665,936
BOTOSANI,3480,355,125,371,820,857,952
BRAILA,3517,469,282,442,816,560,948
BRASOV,5824,1035,560,1111,1273,916,929
BUZAU,7755,524,307,1066,1975,1994,1889
CALARASI,3848,510,174,781,1010,603,770
CARAS-SEVERIN,2351,247,135,339,566,550,514
CLUJ,4356,490,260,776,1081,931,818
CONSTANTA,6467,839,406,843,1566,1113,1700
COVASNA,3059,798,315,495,619,467,365
DAMBOVITA,5213,808,446,793,1184,952,1030
DOLJ,16957,2132,1385,2492,4247,3565,3136
GALATI,10292,1414,846,1199,2543,1859,2431
GIURGIU,2106,365,206,330,479,377,349
GORJ,4193,463,273,585,1013,1015,844
HARGHITA,5319,945,437,1053,1297,813,774
HUNEDOARA,6090,802,480,971,1515,1351,971
IALOMITA,4204,569,331,557,985,715,1047
IASI,8501,877,391,1164,2265,1485,2319
ILFOV,946,186,66,129,222,187,156
MARAMURES,3841,694,357,708,926,640,516
MEHEDINTI,6032,658,420,753,1505,1433,1263
BUCURESTI,12402,180,898,2605,3534,3004,2181
MURES,6616,1483,646,1142,1523,783,1039
NEAMT,6957,640,306,973,1829,1635,1574
OLT,8237,1291,992,1044,1760,1624,1526
PRAHOVA,5867,803,365,837,1493,1338,1031
SALAJ,4654,688,356,1011,1145,761,693
SATU MARE,4983,683,322,1091,1403,784,700
SIBIU,4597,838,420,789,1048,653,849
SUCEAVA,11298,1581,756,2169,2907,1727,2158
TELEORMAN,9405,1170,675,1443,2245,1983,1889
TIMIS,2225,193,127,388,595,392,530
TULCEA,2988,481,391,409,549,630,528
VALCEA,4774,687,445,614,1029,1109,890
VASLUI,8793,429,251,1183,2652,2253,2025
VRANCEA,4865,592,275,765,1184,1062,987
TOTAL,241222,30471,17396,37724,59616,47870,48145
