JUDET,TOTAL ,Sub 25 ani,25 - 29 ani,30 - 39 ani,40 - 49 ani,50 - 55 ani,peste 55 ani
ALBA,4988,714,497,867,1152,888,870
ARAD,2642,278,140,381,645,608,590
ARGES,7796,882,553,1390,2021,1542,1408
BACAU,6431,948,416,855,1506,1278,1428
BIHOR,2808,282,169,481,710,534,632
BISTRITA NASAUD,4015,488,247,581,986,878,835
BOTOSANI,2833,259,146,314,696,640,778
BRAILA,3315,398,181,452,838,627,819
BRASOV,5349,1047,524,952,1118,844,864
BUZAU,8070,615,414,1172,2159,1958,1752
CALARASI,2941,400,114,548,761,509,609
CARAS-SEVERIN,2287,236,127,331,556,522,515
CLUJ,4107,403,208,752,1015,881,848
CONSTANTA,5171,744,377,724,1149,918,1259
COVASNA,3834,1353,654,484,600,383,360
DAMBOVITA,4701,671,379,712,1027,936,976
DOLJ,15022,1502,972,2378,4065,3189,2916
GALATI,10225,1409,811,1181,2565,2193,2066
GIURGIU,1942,337,188,194,484,431,308
GORJ,3730,272,177,543,973,939,826
HARGHITA,4552,863,375,891,1071,699,653
HUNEDOARA,6316,599,391,973,1684,1621,1048
IALOMITA,3626,410,224,454,909,722,907
IASI,8072,919,362,1023,2061,1709,1998
ILFOV,935,152,44,135,233,208,163
MARAMURES,3352,621,309,562,785,577,498
MEHEDINTI,5322,313,233,752,1507,1263,1254
BUCURESTI,13537,175,1207,3037,3720,3107,2291
MURES,5560,1258,467,1024,1296,720,795
NEAMT,5495,513,247,743,1485,1237,1270
OLT,7094,668,384,826,1807,1624,1785
PRAHOVA,5687,874,383,775,1392,1278,985
SALAJ,4237,600,319,908,1075,670,665
SATU MARE,4411,627,290,1025,1226,638,605
SIBIU,3457,457,278,651,861,579,631
SUCEAVA,9984,1343,709,1927,2625,1577,1803
TELEORMAN,8197,737,451,1341,2066,1790,1812
TIMIS,2301,241,157,393,610,457,443
TULCEA,2392,344,198,280,603,544,423
VALCEA,4501,599,385,550,1065,1019,883
VASLUI,8697,547,295,1194,2657,2101,1903
VRANCEA,4888,566,326,780,1196,1023,997
TOTAL,224820,26664,15328,35536,56960,45861,44471
