JUDET,TOTAL ,Sub 25 ani,25 - 29 ani,30 - 39 ani,40 - 49 ani,50 - 55 ani,peste 55 ani
ALBA,4581,828,415,729,1013,770,826
ARAD,2311,340,109,305,526,499,532
ARGES,7820,1035,524,1381,1970,1539,1371
BACAU,5969,796,396,823,1439,1232,1283
BIHOR,2721,354,180,403,653,483,648
BISTRITA NASAUD,4043,677,249,520,898,881,818
BOTOSANI,3326,673,149,309,696,678,821
BRAILA,3331,513,223,430,788,556,821
BRASOV,5259,1186,543,923,1103,678,826
BUZAU,8580,999,426,1159,2144,2017,1835
CALARASI,3304,481,155,712,849,467,640
CARAS-SEVERIN,2292,312,128,315,506,529,502
CLUJ,4013,396,225,748,956,864,824
CONSTANTA,4742,1099,357,585,914,714,1073
COVASNA,3477,1263,477,459,568,357,353
DAMBOVITA,5106,690,405,803,1146,965,1097
DOLJ,14795,1736,914,2235,3824,3166,2920
GALATI,10817,2041,797,1120,2516,1943,2400
GIURGIU,2027,528,177,221,467,339,295
GORJ,3751,531,160,484,902,891,783
HARGHITA,4501,1010,385,840,995,649,622
HUNEDOARA,5690,741,388,903,1444,1284,930
IALOMITA,3411,467,200,409,805,664,866
IASI,7955,915,297,1007,2046,1670,2020
ILFOV,903,195,50,118,198,193,149
MARAMURES,3170,654,292,509,709,543,463
MEHEDINTI,5077,311,221,685,1426,1238,1196
BUCURESTI,13386,173,1205,2986,3679,3060,2283
MURES,5682,1341,471,978,1293,749,850
NEAMT,5486,561,269,743,1431,1225,1257
OLT,7356,1041,678,841,1649,1618,1529
PRAHOVA,5806,1138,369,758,1335,1225,981
SALAJ,4343,839,307,893,1032,617,655
SATU MARE,4377,668,270,994,1176,644,625
SIBIU,3362,605,273,576,807,502,599
SUCEAVA,10071,1685,688,1794,2536,1521,1847
TELEORMAN,7914,860,492,1272,1923,1668,1699
TIMIS,2745,607,139,425,619,495,460
TULCEA,2477,398,334,249,543,551,402
VALCEA,4226,480,315,542,1027,1021,841
VASLUI,8281,487,284,1124,2482,2051,1853
VRANCEA,4996,729,349,755,1192,1025,946
TOTAL,223480,32383,15285,34065,54225,43781,43741
