JUDET,TOTAL ,Sub 25 ani,25 - 29 ani,30 - 39 ani,40 - 49 ani,50 - 55 ani,peste 55 ani
ALBA,4757,936,415,737,1051,785,833
ARAD,2378,359,106,312,539,447,615
ARGES,7934,1096,516,1384,1992,1575,1371
BACAU,5862,926,388,766,1361,1190,1231
BIHOR,2699,410,163,390,629,461,646
BISTRITA NASAUD,3934,757,235,472,855,810,805
BOTOSANI,3361,695,142,327,698,676,823
BRAILA,3392,541,241,416,789,552,853
BRASOV,5186,1163,401,886,1100,807,829
BUZAU,7446,881,296,968,1810,1756,1735
CALARASI,3328,410,127,653,882,611,645
CARAS-SEVERIN,2337,378,128,325,509,514,483
CLUJ,4069,485,223,743,961,867,790
CONSTANTA,4726,1103,318,599,911,702,1093
COVASNA,3564,1450,382,463,564,365,340
DAMBOVITA,4729,691,359,717,1091,885,986
DOLJ,15072,1839,933,2244,3837,3249,2970
GALATI,10872,2122,770,1107,2499,1912,2462
GIURGIU,2066,403,161,224,351,489,438
GORJ,4030,708,217,489,908,909,799
HARGHITA,4605,1097,377,844,1012,656,619
HUNEDOARA,5795,795,393,909,1443,1295,960
IALOMITA,3296,427,180,396,777,623,893
IASI,8200,1004,306,1029,2068,1732,2061
ILFOV,895,189,51,117,206,178,154
MARAMURES,3273,749,272,512,723,544,473
MEHEDINTI,5149,410,208,674,1427,1231,1199
BUCURESTI,13270,198,1189,2922,3648,3013,2300
MURES,5852,1298,494,1060,1340,772,888
NEAMT,5471,625,261,749,1424,1185,1227
OLT,7326,914,680,832,1633,1703,1564
PRAHOVA,5820,1162,335,775,1341,1234,973
SALAJ,4354,837,302,894,1050,606,665
SATU MARE,4428,689,269,992,1203,650,625
SIBIU,3443,625,267,551,840,509,651
SUCEAVA,9990,1761,684,1722,2506,1497,1820
TELEORMAN,8150,1050,522,1262,1901,1666,1749
TIMIS,2756,607,154,437,631,491,436
TULCEA,2391,393,287,233,559,524,395
VALCEA,4270,569,288,501,1003,1035,874
VASLUI,8561,510,276,1167,2620,2104,1884
VRANCEA,5007,838,313,735,1157,1014,950
TOTAL,224044,34100,14629,33535,53849,43824,44107
