JUDET,TOTAL ,Sub 25 ani,25 - 29 ani,30 - 39 ani,40 - 49 ani,50 - 55 ani,peste 55 ani
ALBA,4783,762,458,795,1086,822,860
ARAD,2301,296,107,308,535,518,537
ARGES,7759,902,549,1395,1998,1539,1376
BACAU,6163,808,400,860,1491,1268,1336
BIHOR,2814,312,177,426,698,510,691
BISTRITA NASAUD,4016,533,259,541,934,892,857
BOTOSANI,3084,456,150,309,703,677,789
BRAILA,3226,429,206,424,781,581,805
BRASOV,5069,992,473,904,1076,680,944
BUZAU,8396,770,430,1200,2143,2009,1844
CALARASI,3211,287,128,644,833,674,645
CARAS-SEVERIN,2323,250,141,345,537,539,511
CLUJ,4002,370,217,750,963,879,823
CONSTANTA,4617,923,366,591,913,827,997
COVASNA,3462,1178,541,462,571,362,348
DAMBOVITA,4968,664,401,759,1105,964,1075
DOLJ,14843,1582,947,2262,3883,3204,2965
GALATI,10428,1507,815,1179,2584,2245,2098
GIURGIU,1914,307,180,211,338,339,539
GORJ,3594,311,171,490,926,895,801
HARGHITA,4551,971,399,866,1016,660,639
HUNEDOARA,6330,627,386,969,1678,1607,1063
IALOMITA,3467,394,221,430,841,685,896
IASI,7834,814,339,1010,2019,1686,1966
ILFOV,892,172,41,113,211,203,152
MARAMURES,3345,698,307,544,745,553,498
MEHEDINTI,5178,287,229,724,1480,1245,1213
BUCURESTI,13437,178,1191,3013,3691,3082,2282
MURES,5605,1194,459,1035,1342,753,822
NEAMT,5660,564,275,777,1472,1279,1293
OLT,7078,828,382,829,1722,1581,1736
PRAHOVA,5649,850,380,759,1395,1267,998
SALAJ,4250,695,311,905,1051,627,661
SATU MARE,4315,623,282,986,1180,631,613
SIBIU,3271,495,281,578,799,513,605
SUCEAVA,10093,1399,745,1894,2620,1597,1838
TELEORMAN,8178,803,504,1320,2012,1749,1790
TIMIS,2457,390,134,400,612,481,440
TULCEA,2440,366,271,270,567,554,412
VALCEA,4249,467,341,545,1028,1025,843
VASLUI,8477,525,294,1154,2537,2084,1883
VRANCEA,4983,652,365,779,1194,1028,965
TOTAL,222712,27631,15253,34755,55310,45314,44449
