JUDET,NUMAR TOTAL SOMERI ,NUMAR TOTAL SOMERI FEMEI  ,NUMAR TOTAL SOMERI BARBATI ,NUMAR TOTAL SOMERI DIN MEDIUL URBAN ,NUMAR SOMERI FEMEI DIN MEDIUL URBAN ,NUMAR SOMERI BARBATI DIN MEDIUL URBAN ,NUMAR TOTAL SOMERI DIN MEDIUL RURAL ,NUMAR SOMERI FEMEI DIN MEDIUL RURAL ,NUMAR SOMERI BARBATI DIN MEDIUL RURAL 
ALBA,5060,2448,2612,1590,872,718,3470,1576,1894
ARAD,2354,1232,1122,883,501,382,1471,731,740
ARGES,8007,3833,4174,1281,744,537,6726,3089,3637
BACAU,5396,2373,3023,1867,891,976,3529,1482,2047
BIHOR,2728,1499,1229,765,454,311,1963,1045,918
BISTRITA NASAUD,4171,2101,2070,1333,736,597,2838,1365,1473
BOTOSANI,3323,1616,1707,1060,544,516,2263,1072,1191
BRAILA,3370,1485,1885,826,437,389,2544,1048,1496
BRASOV,5210,2490,2720,1559,831,728,3651,1659,1992
BUZAU,7274,3085,4189,1281,644,637,5993,2441,3552
CALARASI,3230,1570,1660,934,455,479,2296,1115,1181
CARAS-SEVERIN,2336,1077,1259,948,473,475,1388,604,784
CLUJ,4100,2147,1953,1608,1018,590,2492,1129,1363
CONSTANTA,4865,2754,2111,2102,1328,774,2763,1426,1337
COVASNA,3346,1587,1759,1051,530,521,2295,1057,1238
DAMBOVITA,4540,2266,2274,691,380,311,3849,1886,1963
DOLJ,15644,6839,8805,2130,1153,977,13514,5686,7828
GALATI,10390,4757,5633,1887,985,902,8503,3772,4731
GIURGIU,2102,1151,951,528,324,204,1574,827,747
GORJ,4098,2089,2009,1319,774,545,2779,1315,1464
HARGHITA,4693,2239,2454,1368,710,658,3325,1529,1796
HUNEDOARA,5826,3197,2629,3856,2174,1682,1970,1023,947
IALOMITA,3453,1645,1808,867,439,428,2586,1206,1380
IASI,8176,3731,4445,1225,662,563,6951,3069,3882
ILFOV,958,547,411,174,107,67,784,440,344
MARAMURES,3314,1686,1628,1611,891,720,1703,795,908
MEHEDINTI,5356,2258,3098,822,424,398,4534,1834,2700
MURES,5950,2775,3175,1442,741,701,4508,2034,2474
NEAMT,5636,2536,3100,1079,574,505,4557,1962,2595
OLT,7378,3323,4055,1296,700,596,6082,2623,3459
PRAHOVA,5766,2926,2840,1732,985,747,4034,1941,2093
SALAJ,4384,1946,2438,810,451,359,3574,1495,2079
SATU MARE,4482,2047,2435,757,396,361,3725,1651,2074
SIBIU,3572,1644,1928,1181,586,595,2391,1058,1333
SUCEAVA,10061,4436,5625,2628,1241,1387,7433,3195,4238
TELEORMAN,8450,3598,4852,1640,791,849,6810,2807,4003
TIMIS,2808,1511,1297,1272,694,578,1536,817,719
TULCEA,2472,1261,1211,727,423,304,1745,838,907
VALCEA,4639,2333,2306,1459,801,658,3180,1532,1648
VASLUI,8515,3525,4990,1063,546,517,7452,2979,4473
VRANCEA,4954,2186,2768,850,421,429,4104,1765,2339
BUCURESTI,13037,6760,6277,13037,6760,6277,0,0,0
TOTAL,225424,106509,118915,66539,35591,30948,158885,70918,87967
