JUDET, Numar total someri , Numar total someri femei  , Numar total someri barbati  , Numar  someri indemnizati  , Numar someri neindemnizati ,  Rata somajului (%)  ,  Rata somajului Feminina (%)  ,  Rata somajului Masculina (%)  
ALBA,5656,2690,2966,1199,4457,3.75,3.88,3.64
ARAD,2357,1250,1107,808,1549,1.24,1.51,1.03
ARGES,8146,3863,4283,1693,6453,3.59,3.74,3.46
BACAU,5359,2377,2982,1308,4051,2.89,3.02,2.79
BIHOR,2959,1609,1350,1041,1918,1.26,1.55,1.04
BISTRITA NASAUD,4882,2497,2385,1399,3483,4.34,5.13,3.74
BOTOSANI,376,1578,1798,673,2703,3.13,3.19,3.09
BRAILA,3542,1573,1969,370,3172,3.29,3.27,3.31
BRASOV,5808,2796,3012,694,5114,2.31,2.56,2.12
BUZAU,7493,3153,4340,842,6651,5.28,4.99,5.51
CALARASI,3641,1777,1864,396,3245,4.97,5.43,4.59
CARAS-SEVERIN,2354,1120,1234,874,1480,2.60,2.99,2.32
CLUJ,4344,2248,2096,927,3417,1.24,1.46,1.06
CONSTANTA,6095,3832,2263,2229,3866,2.24,3.34,1.43
COVASNA,3200,1496,1704,376,2824,4.11,4.39,3.90
DAMBOVITA,4653,2422,2231,946,3707,2.83,3.72,2.25
DOLJ,16648,7301,9347,1491,15157,7.40,7.41,7.39
GALATI,10160,4656,5504,977,9183,6.13,6.39,5.92
GIURGIU,2235,1241,994,294,1941,3.47,4.39,2.75
GORJ,4242,2121,2121,1022,3220,3.55,3.86,3.28
HARGHITA,5249,2457,2792,1045,4204,4.43,4.94,4.06
HUNEDOARA,6216,3328,2888,1982,4234,3.99,4.79,3.35
IALOMITA,3837,1827,2010,563,3274,4.92,5.28,4.63
IASI,8500,3822,4678,807,7693,3.17,3.12,3.22
ILFOV,786,478,308,226,560,0.38,0.58,0.25
MARAMURES,3548,1824,1724,1133,2415,2.02,2.31,1.78
MEHEDINTI,5684,2438,3246,749,4935,6.88,6.79,6.95
BUCURESTI,12824,6612,6212,1174,11650,1.05,1.08,1.02
MURES,6713,3106,3607,1010,5703,3.23,3.51,3.02
NEAMT,6123,2743,3380,1211,4912,4.07,4.22,3.95
OLT,8208,3747,4461,893,7315,6.34,6.76,6.03
PRAHOVA,5969,2952,3017,1651,4318,2.25,2.68,1.94
SALAJ,4669,2024,2645,723,3946,5.21,5.34,5.11
SATU MARE,4796,2152,2644,518,4278,3.75,3.78,3.73
SIBIU,4255,2008,2247,839,3416,2.31,2.45,2.19
SUCEAVA,10539,4607,5932,2493,8046,5.51,5.58,5.45
TELEORMAN,8881,3855,5026,937,7944,8.19,7.68,8.62
TIMIS,2752,1438,1314,973,1779,0.84,1.03,0.70
TULCEA,2882,1389,1493,752,2130,3.98,4.27,3.73
VALCEA,4946,2471,2475,1448,3498,3.56,4.13,3.13
VASLUI,8926,3669,5257,727,8199,8.42,7.41,9.30
VRANCEA,5059,2250,2809,589,4470,4.47,4.33,4.59
TOTAL,238512,112797,125715,42002,196510,3.04,3.22,2.90
