JUDET, Numar total someri , Numar total someri femei  , Numar total someri barbati  , Numar  someri indemnizati  , Numar someri neindemnizati ,  Rata somajului (%)  ,  Rata somajului Feminina (%)  ,  Rata somajului Masculina (%)  
ALBA,5677,2746,2931,1365,4312,3.77,3.96,3.60
ARAD,2126,1135,991,886,1240,1.12,1.37,0.92
ARGES,8270,3930,4340,1831,6439,3.64,3.81,3.51
BACAU,5091,2152,2939,1281,3810,2.74,2.73,2.75
BIHOR,2933,1537,1396,1079,1854,1.25,1.48,1.07
BISTRITA NASAUD,3539,1764,1775,1631,1908,3.15,3.62,2.79
BOTOSANI,3424,1581,1843,593,2831,3.18,3.19,3.17
BRAILA,3427,1488,1939,377,3050,3.18,3.09,3.26
BRASOV,5998,2956,3042,693,5305,2.38,2.70,2.14
BUZAU,7786,3303,4483,884,6902,5.49,5.23,5.70
CALARASI,3871,1850,2021,421,3450,5.28,5.66,4.98
CARAS-SEVERIN,2297,1077,1220,737,1560,2.53,2.87,2.29
CLUJ,4211,2079,2132,993,3218,1.20,1.35,1.08
CONSTANTA,6314,4111,2203,2493,3821,2.32,3.58,1.39
COVASNA,3020,1430,1590,377,2643,3.88,4.19,3.64
DAMBOVITA,5212,2795,2417,1012,4200,3.17,4.29,2.43
DOLJ,16509,7201,9308,1521,14988,7.34,7.31,7.36
GALATI,9868,4586,5282,920,8948,5.95,6.29,5.69
GIURGIU,2223,1200,1023,290,1933,3.45,4.24,2.83
GORJ,4134,2189,1945,993,3141,3.46,3.99,3.01
HARGHITA,5134,2348,2786,1134,4000,4.33,4.72,4.05
HUNEDOARA,6016,3201,2815,1852,4164,3.87,4.61,3.27
IALOMITA,4155,2126,2029,620,3535,5.33,6.14,4.68
IASI,8125,3581,4544,782,7343,3.03,2.92,3.12
ILFOV,934,540,394,247,687,0.45,0.66,0.32
MARAMURES,3783,1959,1824,1052,2731,2.15,2.48,1.89
MEHEDINTI,6059,2685,3374,736,5323,7.34,7.48,7.22
BUCURESTI,12369,6750,5619,1168,11201,1.01,1.10,0.92
MURES,6360,2939,3421,992,5368,3.06,3.32,2.87
NEAMT,6806,2902,3904,1300,5506,4.52,4.46,4.57
OLT,8065,3748,4317,1001,7064,6.23,6.77,5.83
PRAHOVA,5822,2889,2933,1686,4136,2.19,2.63,1.88
SALAJ,4645,2006,2639,700,3945,5.18,5.29,5.09
SATU MARE,4873,2161,2712,587,4286,3.81,3.79,3.83
SIBIU,4508,2213,2295,805,3703,2.44,2.71,2.24
SUCEAVA,10996,4692,6304,2702,8294,5.75,5.69,5.79
TELEORMAN,9024,3819,5205,974,8050,8.32,7.61,8.93
TIMIS,2124,1064,1060,809,1315,0.65,0.76,0.56
TULCEA,2827,1378,1449,777,2050,3.90,4.24,3.62
VALCEA,4421,2211,2210,1415,3006,3.18,3.70,2.79
VASLUI,8988,3707,5281,753,8235,8.48,7.49,9.35
VRANCEA,4762,2066,2696,553,4209,4.21,3.97,4.41
TOTAL,236726,112095,124631,43022,193704,3.02,3.20,2.87
