JUDET, Numar total someri , Numar total someri femei  , Numar total someri barbati  , Numar  someri indemnizati  , Numar someri neindemnizati ,  Rata somajului (%)  ,  Rata somajului Feminina (%)  ,  Rata somajului Masculina (%)  
ALBA,4757,2303,2454,1148,3609,2.81,2.95,2.70
ARAD,2378,1268,1110,779,1599,1.13,1.31,0.98
ARGES,7934,3888,4046,1730,6204,3.10,3.24,2.98
BACAU,5862,2549,3313,1262,4600,2.73,2.71,2.74
BIHOR,2699,1491,1208,1015,1684,1.02,1.25,0.83
BISTRITA NASAUD,3934,1978,1956,1409,2525,3.04,3.50,2.68
BOTOSANI,3361,1623,1738,651,2710,2.46,2.53,2.39
BRAILA,3392,1465,1927,340,3052,2.78,2.69,2.85
BRASOV,5186,2553,2633,706,4480,1.98,2.29,1.76
BUZAU,7446,3221,4225,897,6549,4.35,4.09,4.57
CALARASI,3328,1719,1609,724,2604,3.69,3.96,3.43
CARAS-SEVERIN,2337,1102,1235,935,1402,2.21,2.40,2.06
CLUJ,4069,2103,1966,951,3118,1.09,1.28,0.93
CONSTANTA,4726,2610,2116,912,3814,1.60,2.04,1.26
COVASNA,3564,1728,1836,356,3208,4.18,4.35,4.04
DAMBOVITA,4729,2364,2365,899,3830,2.44,2.97,2.08
DOLJ,15072,6517,8555,1476,13596,5.64,5.41,5.84
GALATI,10872,4962,5910,942,9930,5.78,5.87,5.72
GIURGIU,2066,1138,928,318,1748,2.56,3.08,2.12
GORJ,4030,2017,2013,998,3032,2.97,3.23,2.76
HARGHITA,4605,2199,2406,875,3730,3.39,3.73,3.12
HUNEDOARA,5795,3204,2591,1840,3955,3.39,4.04,2.83
IALOMITA,3296,1544,1752,475,2821,3.54,3.62,3.46
IASI,8200,3675,4525,764,7436,2.75,2.70,2.79
ILFOV,895,503,392,258,637,0.42,0.57,0.32
MARAMURES,3273,1677,1596,1031,2242,1.64,1.84,1.47
MEHEDINTI,5149,2191,2958,708,4441,5.10,4.65,5.49
BUCURESTI,13270,6926,6344,1206,12064,1.08,1.13,1.03
MURES,5852,2739,3113,888,4964,2.49,2.71,2.32
NEAMT,5471,2451,3020,860,4611,3.02,3.04,3.00
OLT,7326,3268,4058,768,6558,4.57,4.51,4.62
PRAHOVA,5820,2942,2878,1621,4199,2.00,2.41,1.70
SALAJ,4354,1917,2437,668,3686,4.18,4.19,4.17
SATU MARE,4428,2022,2406,461,3967,3.03,2.99,3.06
SIBIU,3443,1651,1792,832,2611,1.75,1.92,1.62
SUCEAVA,9990,4379,5611,2314,7676,4.35,4.21,4.45
TELEORMAN,8150,3477,4673,922,7228,5.84,5.21,6.42
TIMIS,2756,1450,1306,1020,1736,0.78,0.93,0.67
TULCEA,2391,1220,1171,458,1933,2.89,3.19,2.63
VALCEA,4270,2139,2131,1451,2819,2.63,3.00,2.34
VASLUI,8561,3547,5014,657,7904,6.53,5.50,7.52
VRANCEA,5007,2208,2799,565,4442,3.67,3.46,3.86
TOTAL,224044,105928,118116,39090,184954,2.56,2.66,2.48
