JUDET, Numar total someri , Numar total someri femei  , Numar total someri barbati  , Numar  someri indemnizati  , Numar someri neindemnizati ,  Rata somajului (%)  ,  Rata somajului Feminina (%)  ,  Rata somajului Masculina (%)  
ALBA,5797,2721,3076,1410,4387,3.85,3.93,3.78
ARAD,2178,1120,1058,937,1241,1.15,1.35,0.99
ARGES,8114,3821,4293,1792,6322,3.58,3.70,3.47
BACAU,5337,2351,2986,1390,3947,2.88,2.99,2.80
BIHOR,2844,1540,1304,1097,1747,1.22,1.48,1.00
BISTRITA NASAUD,3722,1858,1864,1562,2160,3.31,3.82,2.93
BOTOSANI,3384,1536,1848,784,2600,3.14,3.10,3.18
BRAILA,3532,1570,1962,419,3113,3.28,3.26,3.30
BRASOV,5833,2791,3042,714,5119,2.32,2.55,2.14
BUZAU,7657,3225,4432,902,6755,5.40,5.10,5.63
CALARASI,3642,1737,1905,428,3214,4.97,5.31,4.69
CARAS-SEVERIN,2416,1126,1290,900,1516,2.66,3.00,2.42
CLUJ,4322,2202,2120,1001,3321,1.23,1.43,1.08
CONSTANTA,6302,3989,2313,2489,3813,2.31,3.48,1.46
COVASNA,3212,1497,1715,392,2820,4.13,4.39,3.92
DAMBOVITA,5004,2618,2386,1019,3985,3.04,4.02,2.40
DOLJ,16799,7275,9524,1586,15213,7.47,7.39,7.53
GALATI,10158,4633,5525,1046,9112,6.13,6.36,5.95
GIURGIU,2204,1213,991,285,1919,3.42,4.29,2.74
GORJ,4308,2127,2181,1054,3254,3.61,3.87,3.38
HARGHITA,5409,2432,2977,1289,4120,4.56,4.89,4.33
HUNEDOARA,6170,3292,2878,2006,4164,3.97,4.74,3.34
IALOMITA,3970,1908,2062,621,3349,5.09,5.51,4.75
IASI,8475,3773,4702,858,7617,3.16,3.08,3.23
ILFOV,887,525,362,239,648,0.43,0.64,0.29
MARAMURES,3453,1780,1673,1144,2309,1.97,2.25,1.73
MEHEDINTI,5783,2513,3270,795,4988,7.00,7.00,7.00
BUCURESTI,12798,6575,6223,1188,11610,1.04,1.07,1.02
MURES,6819,3177,3642,1104,5715,3.28,3.59,3.05
NEAMT,6081,2650,3431,1430,4651,4.04,4.08,4.01
OLT,8194,3765,4429,965,7229,6.33,6.80,5.99
PRAHOVA,5876,2911,2965,1673,4203,2.21,2.65,1.90
SALAJ,4627,2000,2627,785,3842,5.16,5.28,5.07
SATU MARE,4920,2154,2766,589,4331,3.85,3.78,3.91
SIBIU,4353,2036,2317,863,3490,2.36,2.49,2.26
SUCEAVA,10819,4561,6258,2916,7903,5.65,5.53,5.75
TELEORMAN,9216,3924,5292,971,8245,8.49,7.82,9.08
TIMIS,2661,1382,1279,980,1681,0.81,0.99,0.68
TULCEA,2967,1403,1564,860,2107,4.09,4.32,3.91
VALCEA,4757,2357,2400,1492,3265,3.42,3.94,3.03
VASLUI,9098,3717,5381,907,8191,8.58,7.51,9.52
VRANCEA,4966,2157,2809,649,4317,4.39,4.15,4.59
TOTAL,239064,111942,127122,45531,193533,3.05,3.20,2.93
