JUDET,"Total someri, din care: ",fara studii,invatamant primar ,invatamant gimnazial ,invatamant liceal,invatamant posticeal,invatamant profesional/arte si meserii,invatamant universitar
ALBA,5797,408,968,1926,1375,67,773,280
ARAD,2178,431,243,644,438,24,241,157
ARGES,8114,415,1994,2665,1402,99,1224,315
BACAU,5337,346,857,2052,1014,67,810,191
BIHOR,2844,270,545,659,663,67,343,297
BISTRITA NASAUD,3722,262,451,1155,945,53,653,203
BOTOSANI,3384,152,605,1347,633,49,525,73
BRAILA,3532,426,848,1249,402,46,449,112
BRASOV,5833,791,1714,1823,771,41,432,261
BUZAU,7657,801,1854,2646,1009,48,1196,103
CALARASI,3642,502,1012,1208,557,28,285,50
CARAS-SEVERIN,2416,305,390,567,661,48,302,143
CLUJ,4322,710,851,1057,678,87,646,293
CONSTANTA,6302,780,1056,1631,1526,84,876,349
COVASNA,3212,404,1073,611,737,18,298,71
DAMBOVITA,5004,429,1207,1851,799,36,531,151
DOLJ,16799,942,4865,5434,3246,128,1800,384
GALATI,10158,1177,1968,3646,1768,75,1226,298
GIURGIU,2204,232,300,960,535,13,122,42
GORJ,4308,0,478,1276,1353,75,907,219
HARGHITA,5409,860,1577,1143,977,76,614,162
HUNEDOARA,6170,499,826,1602,1693,111,1012,427
IALOMITA,3970,412,929,1481,526,32,547,43
IASI,8475,521,1883,2716,1135,88,1911,221
ILFOV,887,113,260,202,167,10,69,66
MARAMURES,3453,133,711,984,765,91,539,230
MEHEDINTI,5783,706,941,2244,1115,61,583,133
BUCURESTI,12798,24,66,2304,4732,426,2101,3145
MURES,6819,936,2367,1737,906,56,634,183
NEAMT,6081,533,961,2017,958,72,1367,173
OLT,8194,636,915,2985,2070,100,1326,162
PRAHOVA,5876,529,1070,1553,1239,78,1073,334
SALAJ,4627,519,1519,1302,590,68,479,150
SATU MARE,4920,825,1940,1456,306,25,312,56
SIBIU,4353,362,1501,1030,603,33,603,221
SUCEAVA,10819,965,2365,3698,1553,152,1777,309
TELEORMAN,9216,958,1286,4183,1628,53,970,138
TIMIS,2661,340,277,521,741,55,353,374
TULCEA,2967,0,269,1310,801,0,501,86
VALCEA,4757,162,536,1330,1410,86,988,245
VASLUI,9098,467,2213,4043,985,58,1250,82
VRANCEA,4966,320,1513,1829,684,50,478,92
TOTAL,239064,20603,49204,76077,46096,2934,33126,11024
