JUDET,"Total someri, din care: ",fara studii,invatamant primar ,invatamant gimnazial ,invatamant liceal,invatamant posticeal,invatamant profesional/arte si meserii,invatamant universitar
ALBA,4783,381,858,1644,1027,55,625,193
ARAD,2301,441,298,627,497,24,249,165
ARGES,7759,425,2015,2603,1224,116,1082,294
BACAU,6163,417,954,2221,1484,72,828,187
BIHOR,2814,260,591,661,537,119,352,294
BISTRITA NASAUD,4016,215,551,1307,979,44,715,205
BOTOSANI,3084,145,598,1243,592,25,410,71
BRAILA,3226,642,730,1099,299,31,328,97
BRASOV,5069,762,1410,1630,594,41,431,201
BUZAU,8396,853,2091,2970,1168,50,1162,102
CALARASI,3211,349,844,1000,521,26,397,74
CARAS-SEVERIN,2323,313,348,556,614,40,315,137
CLUJ,4002,619,789,970,641,79,608,296
CONSTANTA,4617,717,775,1111,1273,44,409,288
COVASNA,3462,418,1358,895,483,18,246,44
DAMBOVITA,4968,538,1208,1862,683,29,525,123
DOLJ,14843,881,4601,4666,2831,87,1513,264
GALATI,10428,1131,2478,4008,1330,71,1127,283
GIURGIU,1914,190,405,779,398,10,93,39
GORJ,3594,0,435,1172,950,57,769,211
HARGHITA,4551,746,1379,922,913,35,430,126
HUNEDOARA,6330,436,686,1606,1840,174,1087,501
IALOMITA,3467,350,974,1266,386,19,437,35
IASI,7834,535,1629,2623,1060,66,1709,212
ILFOV,892,128,227,236,170,6,66,59
MARAMURES,3345,123,790,890,779,82,493,188
MEHEDINTI,5178,665,923,2092,777,50,591,80
BUCURESTI,13437,24,134,2358,4994,445,2210,3272
MURES,5605,726,2066,1527,619,58,478,131
NEAMT,5660,488,931,2015,933,53,1068,172
OLT,7078,620,888,2809,1455,60,1155,91
PRAHOVA,5649,531,963,1685,1126,58,997,289
SALAJ,4250,437,1460,1226,549,56,423,99
SATU MARE,4315,719,1734,1319,239,10,243,51
SIBIU,3271,316,1112,804,400,37,424,178
SUCEAVA,10093,1054,2330,3487,1338,95,1460,329
TELEORMAN,8178,810,1348,3951,1096,33,844,96
TIMIS,2457,325,303,475,676,31,307,340
TULCEA,2440,0,741,725,576,0,329,69
VALCEA,4249,146,425,1284,1146,107,928,213
VASLUI,8477,445,2143,3664,1022,50,1086,67
VRANCEA,4983,317,1565,1884,665,43,422,87
TOTAL,222712,19638,48088,71872,40884,2606,29371,10253
