JUDET,"Total someri, din care: ",fara studii,invatamant primar ,invatamant gimnazial ,invatamant liceal,invatamant posticeal,invatamant profesional/arte si meserii,invatamant universitar
ALBA,5656,404,996,1814,1361,63,731,287
ARAD,2357,412,240,647,610,23,253,172
ARGES,8146,422,1993,2656,1460,111,1181,323
BACAU,5359,358,881,2036,1014,69,808,193
BIHOR,2959,282,560,691,693,77,359,297
BISTRITA NASAUD,4882,276,498,1593,1309,80,841,285
BOTOSANI,3376,152,619,1290,697,46,491,81
BRAILA,3542,432,840,1236,413,49,450,122
BRASOV,5808,800,1684,1813,789,39,422,261
BUZAU,7493,783,1787,2575,1025,46,1166,111
CALARASI,3641,407,904,1242,617,29,378,64
CARAS-SEVERIN,2354,276,395,559,652,41,290,141
CLUJ,4344,713,849,1041,677,97,652,315
CONSTANTA,6095,776,973,1600,1557,83,768,338
COVASNA,3200,385,1023,608,804,21,300,59
DAMBOVITA,4653,408,1115,1657,761,33,519,160
DOLJ,16648,966,4730,5340,3340,139,1734,399
GALATI,10160,1182,2012,3557,1848,73,1182,306
GIURGIU,2235,232,303,960,555,14,125,46
GORJ,4242,0,473,1262,1310,73,881,243
HARGHITA,5249,853,1557,1043,1012,76,533,175
HUNEDOARA,6216,499,820,1604,1724,120,998,451
IALOMITA,3837,408,917,1414,494,37,523,44
IASI,8500,512,1867,2711,1182,101,1890,237
ILFOV,786,102,239,158,158,9,54,66
MARAMURES,3548,139,726,1008,817,95,535,228
MEHEDINTI,5684,701,942,2209,1073,57,574,128
BUCURESTI,12824,25,67,2303,4742,426,2111,3150
MURES,6713,951,2382,1644,889,57,594,196
NEAMT,6123,538,989,2078,948,74,1330,166
OLT,8208,629,907,2990,2129,104,1291,158
PRAHOVA,5969,519,1105,1574,1299,84,1057,331
SALAJ,4669,532,1534,1301,624,69,460,149
SATU MARE,4796,823,1914,1398,301,24,274,62
SIBIU,4255,357,1456,992,615,36,584,215
SUCEAVA,10539,978,2351,3554,1564,153,1608,331
TELEORMAN,8881,911,1299,3997,1594,56,891,133
TIMIS,2752,339,275,521,826,54,345,392
TULCEA,2882,0,264,1275,782,0,470,91
VALCEA,4946,165,520,1348,1491,88,1067,267
VASLUI,8926,491,2206,3947,978,54,1165,85
VRANCEA,5059,332,1562,1852,718,48,460,87
TOTAL,238512,20470,48774,75098,47452,3028,32345,11345
