JUDET,"Total someri, din care: ",fara studii,invatamant primar ,invatamant gimnazial ,invatamant liceal,invatamant posticeal,invatamant profesional/arte si meserii,invatamant universitar
ALBA,5677,393,901,1935,1362,64,773,249
ARAD,2126,475,244,611,387,21,223,165
ARGES,8270,428,2059,2824,1276,93,1314,276
BACAU,5091,322,770,1988,902,61,863,185
BIHOR,2933,265,593,738,619,76,364,278
BISTRITA NASAUD,3539,305,452,1132,784,47,660,159
BOTOSANI,3424,148,627,1445,577,45,512,70
BRAILA,3427,448,862,1255,324,38,394,106
BRASOV,5998,838,1772,1992,659,39,449,249
BUZAU,7786,822,1892,2810,913,46,1208,95
CALARASI,3871,557,1058,1279,586,29,301,61
CARAS-SEVERIN,2297,310,390,602,541,41,290,123
CLUJ,4211,725,809,1067,624,88,614,284
CONSTANTA,6314,813,976,1686,1527,74,882,356
COVASNA,3020,427,1119,723,445,19,239,48
DAMBOVITA,5212,444,1165,1971,841,43,600,148
DOLJ,16509,985,4898,5563,2826,132,1788,317
GALATI,9868,1160,2063,3872,1276,73,1166,258
GIURGIU,2223,277,386,928,453,11,141,27
GORJ,4134,0,474,1271,1208,57,904,220
HARGHITA,5134,871,1539,1172,809,70,531,142
HUNEDOARA,6016,461,802,1632,1658,118,946,399
IALOMITA,4155,400,915,1650,565,22,563,40
IASI,8125,498,1802,2736,913,75,1890,211
ILFOV,934,128,274,236,152,7,69,68
MARAMURES,3783,142,804,1076,834,89,596,242
MEHEDINTI,6059,717,986,2350,1191,60,610,145
BUCURESTI,12369,23,66,2216,4601,416,2128,2919
MURES,6360,889,2238,1752,698,43,593,147
NEAMT,6806,564,1162,2348,997,64,1495,176
OLT,8065,580,767,3008,1893,100,1571,146
PRAHOVA,5822,503,1078,1668,1103,72,1103,295
SALAJ,4645,560,1519,1374,486,62,504,140
SATU MARE,4873,832,1941,1432,288,20,306,54
SIBIU,4508,386,1554,1213,538,31,609,177
SUCEAVA,10996,1014,2466,3950,1320,153,1772,321
TELEORMAN,9024,816,1620,4079,1391,54,946,118
TIMIS,2124,313,270,445,487,38,267,304
TULCEA,2827,0,269,1259,745,0,464,90
VALCEA,4421,162,533,1281,1210,82,910,243
VASLUI,8988,425,2163,4109,928,46,1236,81
VRANCEA,4762,326,1477,1787,582,52,454,84
TOTAL,236726,20752,49755,78465,41519,2771,33248,10216
