JUDET,"Total someri, din care: ",fara studii,invatamant primar ,invatamant gimnazial ,invatamant liceal,invatamant posticeal,invatamant profesional/arte si meserii,invatamant universitar
ALBA,4814,382,852,1684,1006,51,635,204
ARAD,2356,510,351,661,403,20,258,153
ARGES,7731,430,2038,2572,1178,98,1127,288
BACAU,6212,419,961,2236,1536,51,823,186
BIHOR,2892,248,606,664,587,96,387,304
BISTRITA NASAUD,3958,218,523,1319,946,47,697,208
BOTOSANI,2965,144,605,1228,470,21,423,74
BRAILA,3268,650,746,1069,309,34,350,110
BRASOV,5097,790,1464,1664,526,36,413,204
BUZAU,8196,837,2022,2948,1065,49,1172,103
CALARASI,3143,351,789,973,601,31,345,53
CARAS-SEVERIN,2287,316,348,533,593,41,315,141
CLUJ,4121,616,789,1002,672,83,650,309
CONSTANTA,4536,733,753,1140,1105,40,468,297
COVASNA,3667,431,1433,978,489,16,268,52
DAMBOVITA,4895,514,1142,1860,690,31,532,126
DOLJ,14819,894,4657,4643,2732,91,1527,275
GALATI,10337,1127,2447,4035,1245,64,1132,287
GIURGIU,1915,182,552,647,389,10,97,38
GORJ,3563,0,439,1208,884,57,752,223
HARGHITA,4436,749,1370,898,852,28,418,121
HUNEDOARA,6395,439,685,1624,1808,186,1118,535
IALOMITA,3586,357,1021,1309,381,21,456,41
IASI,7851,535,1626,2633,1066,56,1723,212
ILFOV,981,140,277,248,180,9,68,59
MARAMURES,3336,121,793,854,786,81,503,198
MEHEDINTI,5251,653,924,2127,822,55,592,78
BUCURESTI,13487,19,126,2371,5013,448,2227,3283
MURES,5486,686,2095,1495,558,44,476,132
NEAMT,5578,484,895,1988,942,47,1038,184
OLT,7122,634,899,2815,1437,73,1157,107
PRAHOVA,5658,556,997,1699,1093,55,976,282
SALAJ,4155,435,1474,1214,448,30,444,110
SATU MARE,4351,740,1740,1338,231,5,250,47
SIBIU,3356,328,1133,851,393,31,439,181
SUCEAVA,10126,1064,2340,3510,1310,87,1491,324
TELEORMAN,8258,842,1392,3917,1116,38,857,96
TIMIS,2339,324,289,503,534,26,281,382
TULCEA,2341,0,739,731,480,0,318,73
VALCEA,4333,166,444,1342,1190,56,930,205
VASLUI,8628,452,2188,3744,1033,34,1112,65
VRANCEA,4822,305,1500,1830,634,46,431,76
TOTAL,222648,19821,48464,72105,39733,2423,29676,10426
