JUDET,NUMAR TOTAL SOMERI ,NUMAR TOTAL SOMERI FEMEI  ,NUMAR TOTAL SOMERI BARBATI ,NUMAR TOTAL SOMERI DIN MEDIUL URBAN ,NUMAR SOMERI FEMEI DIN MEDIUL URBAN ,NUMAR SOMERI BARBATI DIN MEDIUL URBAN ,NUMAR TOTAL SOMERI DIN MEDIUL RURAL ,NUMAR SOMERI FEMEI DIN MEDIUL RURAL ,NUMAR SOMERI BARBATI DIN MEDIUL RURAL 
ALBA,4814,2277,2537,1379,719,660,3435,1558,1877
ARAD,2356,1206,1150,771,424,347,1585,782,803
ARGES,7731,3732,3999,1115,657,458,6616,3075,3541
BACAU,6212,2616,3596,1865,896,969,4347,1720,2627
BIHOR,2892,1522,1370,825,491,334,2067,1031,1036
BISTRITA NASAUD,3958,1945,2013,1192,682,510,2766,1263,1503
BOTOSANI,2965,1380,1585,911,470,441,2054,910,1144
BRAILA,3268,1345,1923,759,367,392,2509,978,1531
BRASOV,5097,2487,2610,1220,672,548,3877,1815,2062
BUZAU,8196,3476,4720,1439,750,689,6757,2726,4031
CALARASI,3143,1517,1626,873,417,456,2270,1100,1170
CARAS-SEVERIN,2287,1070,1217,923,461,462,1364,609,755
CLUJ,4121,2084,2037,1573,959,614,2548,1125,1423
CONSTANTA,4536,2540,1996,1877,1192,685,2659,1348,1311
COVASNA,3667,1799,1868,814,422,392,2853,1377,1476
DAMBOVITA,4895,2389,2506,649,352,297,4246,2037,2209
DOLJ,14819,6334,8485,1835,989,846,12984,5345,7639
GALATI,10337,4632,5705,1492,821,671,8845,3811,5034
GIURGIU,1915,1022,893,390,245,145,1525,777,748
GORJ,3563,1719,1844,1032,609,423,2531,1110,1421
HARGHITA,4436,2057,2379,1208,618,590,3228,1439,1789
HUNEDOARA,6395,3191,3204,4226,2131,2095,2169,1060,1109
IALOMITA,3586,1649,1937,889,430,459,2697,1219,1478
IASI,7851,3413,4438,1158,600,558,6693,2813,3880
ILFOV,981,575,406,175,110,65,806,465,341
MARAMURES,3336,1684,1652,1561,811,750,1775,873,902
MEHEDINTI,5251,2210,3041,742,390,352,4509,1820,2689
MURES,5486,2490,2996,1268,679,589,4218,1811,2407
NEAMT,5578,2464,3114,1014,525,489,4564,1939,2625
OLT,7122,3154,3968,1350,780,570,5772,2374,3398
PRAHOVA,5658,2856,2802,1706,979,727,3952,1877,2075
SALAJ,4155,1766,2389,676,365,311,3479,1401,2078
SATU MARE,4351,1955,2396,669,345,324,3682,1610,2072
SIBIU,3356,1555,1801,955,458,497,2401,1097,1304
SUCEAVA,10126,4332,5794,2598,1171,1427,7528,3161,4367
TELEORMAN,8258,3415,4843,1542,722,820,6716,2693,4023
TIMIS,2339,1243,1096,1024,567,457,1315,676,639
TULCEA,2341,1140,1201,628,352,276,1713,788,925
VALCEA,4333,2146,2187,1211,695,516,3122,1451,1671
VASLUI,8628,3562,5066,1045,543,502,7583,3019,4564
VRANCEA,4822,2079,2743,714,344,370,4108,1735,2373
BUCURESTI,13487,7139,6348,13487,7139,6348,0,0,0
TOTAL,222648,103167,119481,62780,33349,29431,159868,69818,90050
