JUDET,NUMAR TOTAL SOMERI ,NUMAR TOTAL SOMERI FEMEI  ,NUMAR TOTAL SOMERI BARBATI ,NUMAR TOTAL SOMERI DIN MEDIUL URBAN ,NUMAR SOMERI FEMEI DIN MEDIUL URBAN ,NUMAR SOMERI BARBATI DIN MEDIUL URBAN ,NUMAR TOTAL SOMERI DIN MEDIUL RURAL ,NUMAR SOMERI FEMEI DIN MEDIUL RURAL ,NUMAR SOMERI BARBATI DIN MEDIUL RURAL 
ALBA,5797,2721,3076,1852,972,880,3945,1749,2196
ARAD,2178,1120,1058,788,434,354,1390,686,704
ARGES,8114,3821,4293,1264,730,534,6850,3091,3759
BACAU,5337,2351,2986,1901,920,981,3436,1431,2005
BIHOR,2844,1540,1304,818,462,356,2026,1078,948
BISTRITA NASAUD,3722,1858,1864,1165,652,513,2557,1206,1351
BOTOSANI,3384,1536,1848,1036,480,556,2348,1056,1292
BRAILA,3532,1570,1962,876,453,423,2656,1117,1539
BRASOV,5833,2791,3042,1637,870,767,4196,1921,2275
BUZAU,7657,3225,4432,1233,626,607,6424,2599,3825
CALARASI,3642,1737,1905,1032,523,509,2610,1214,1396
CARAS-SEVERIN,2416,1126,1290,944,485,459,1472,641,831
CLUJ,4322,2202,2120,1640,989,651,2682,1213,1469
CONSTANTA,6302,3989,2313,2906,2058,848,3396,1931,1465
COVASNA,3212,1497,1715,945,469,476,2267,1028,1239
DAMBOVITA,5004,2618,2386,687,389,298,4317,2229,2088
DOLJ,16799,7275,9524,2349,1232,1117,14450,6043,8407
GALATI,10158,4633,5525,1890,996,894,8268,3637,4631
GIURGIU,2204,1213,991,505,329,176,1699,884,815
GORJ,4308,2127,2181,1307,729,578,3001,1398,1603
HARGHITA,5409,2432,2977,1541,764,777,3868,1668,2200
HUNEDOARA,6170,3292,2878,4098,2209,1889,2072,1083,989
IALOMITA,3970,1908,2062,1061,542,519,2909,1366,1543
IASI,8475,3773,4702,1209,634,575,7266,3139,4127
ILFOV,887,525,362,161,105,56,726,420,306
MARAMURES,3453,1780,1673,1665,889,776,1788,891,897
MEHEDINTI,5783,2513,3270,955,517,438,4828,1996,2832
MURES,6819,3177,3642,1846,939,907,4973,2238,2735
NEAMT,6081,2650,3431,1132,600,532,4949,2050,2899
OLT,8194,3765,4429,1474,824,650,6720,2941,3779
PRAHOVA,5876,2911,2965,1758,986,772,4118,1925,2193
SALAJ,4627,2000,2627,853,476,377,3774,1524,2250
SATU MARE,4920,2154,2766,864,420,444,4056,1734,2322
SIBIU,4353,2036,2317,1262,637,625,3091,1399,1692
SUCEAVA,10819,4561,6258,2879,1323,1556,7940,3238,4702
TELEORMAN,9216,3924,5292,1784,879,905,7432,3045,4387
TIMIS,2661,1382,1279,1193,640,553,1468,742,726
TULCEA,2967,1403,1564,900,473,427,2067,930,1137
VALCEA,4757,2357,2400,1389,751,638,3368,1606,1762
VASLUI,9098,3717,5381,1148,586,562,7950,3131,4819
VRANCEA,4966,2157,2809,843,415,428,4123,1742,2381
BUCURESTI,12798,6575,6223,12798,6575,6223,0,0,0
TOTAL,239064,111942,127122,69588,36982,32606,169476,74960,94516
