JUDET,"Total someri, din care: ",fara studii,invatamant primar ,invatamant gimnazial ,invatamant liceal,invatamant posticeal,invatamant profesional/arte si meserii,invatamant universitar
ALBA,5795,398,970,1933,1353,68,801,272
ARAD,2278,475,251,673,412,23,265,179
ARGES,8289,433,2059,2838,1268,106,1300,285
BACAU,5322,322,787,2088,963,63,892,207
BIHOR,2933,288,561,720,650,72,360,282
BISTRITA NASAUD,3593,293,454,1154,804,45,669,174
BOTOSANI,3480,153,627,1446,582,51,551,70
BRAILA,3517,463,869,1263,344,44,426,108
BRASOV,5824,789,1773,1897,632,44,424,265
BUZAU,7755,819,1876,2783,919,47,1221,90
CALARASI,3848,476,1011,1196,593,36,456,80
CARAS-SEVERIN,2351,322,402,597,549,45,305,131
CLUJ,4356,733,854,1100,648,91,641,289
CONSTANTA,6467,796,1043,1702,1563,84,911,368
COVASNA,3059,422,1128,704,489,19,244,53
DAMBOVITA,5213,449,1208,1944,828,42,592,150
DOLJ,16957,1053,4919,5612,3055,129,1853,336
GALATI,10292,1188,2133,4009,1348,75,1270,269
GIURGIU,2106,234,322,930,437,13,142,28
GORJ,4193,0,485,1280,1227,63,914,224
HARGHITA,5319,862,1584,1207,861,82,570,153
HUNEDOARA,6090,492,808,1608,1670,124,976,412
IALOMITA,4204,397,930,1670,553,27,586,41
IASI,8501,510,1861,2803,1036,76,2000,215
ILFOV,946,129,279,239,155,10,73,61
MARAMURES,3841,141,793,1121,838,96,592,260
MEHEDINTI,6032,718,1012,2327,1165,55,606,149
BUCURESTI,12402,22,66,2181,4655,422,2089,2967
MURES,6616,918,2318,1772,770,49,630,159
NEAMT,6957,591,1178,2393,1011,74,1532,178
OLT,8237,517,741,3381,2007,95,1351,145
PRAHOVA,5867,536,1082,1658,1124,74,1086,307
SALAJ,4654,545,1535,1374,482,61,511,146
SATU MARE,4983,837,1947,1473,321,21,334,50
SIBIU,4597,385,1599,1197,565,33,618,200
SUCEAVA,11298,1015,2534,4005,1408,148,1854,334
TELEORMAN,9405,823,1596,4355,1467,54,995,115
TIMIS,2225,336,301,472,502,45,274,295
TULCEA,2988,0,193,1427,771,0,509,88
VALCEA,4774,173,564,1364,1357,89,969,258
VASLUI,8793,416,2120,4023,887,56,1209,82
VRANCEA,4865,328,1506,1812,598,52,482,87
TOTAL,241222,20797,50279,79731,42867,2903,34083,10562
