JUDET,"Total someri, din care: ",fara studii,invatamant primar ,invatamant gimnazial ,invatamant liceal,invatamant posticeal,invatamant profesional/arte si meserii,invatamant universitar
ALBA,5060,377,880,1631,1211,63,671,227
ARAD,2354,423,246,635,595,23,267,165
ARGES,8007,419,1979,2609,1434,119,1110,337
BACAU,5396,391,835,2003,1174,48,761,184
BIHOR,2728,248,513,645,649,90,307,276
BISTRITA NASAUD,4171,244,467,1251,1153,68,756,232
BOTOSANI,3323,151,600,1228,739,44,483,78
BRAILA,3370,571,728,1155,373,48,398,97
BRASOV,5210,723,1442,1544,784,42,439,236
BUZAU,7274,767,1758,2458,1035,43,1108,105
CALARASI,3230,357,829,437,584,24,948,51
CARAS-SEVERIN,2336,289,353,538,695,36,293,132
CLUJ,4100,646,800,968,683,76,630,297
CONSTANTA,4865,730,885,1121,1323,65,456,285
COVASNA,3346,391,1059,595,875,20,325,81
DAMBOVITA,4540,430,1136,1558,751,18,497,150
DOLJ,15644,892,4593,4906,3170,134,1637,312
GALATI,10390,1225,2054,3673,1893,66,1192,287
GIURGIU,2102,214,275,930,502,13,120,48
GORJ,4098,0,448,1176,1304,87,840,243
HARGHITA,4693,731,1397,920,951,44,506,144
HUNEDOARA,5826,488,728,1521,1706,92,904,387
IALOMITA,3453,368,859,1222,443,34,487,40
IASI,8176,523,1710,2608,1166,95,1836,238
ILFOV,958,136,289,218,175,9,60,71
MARAMURES,3314,121,705,924,815,78,484,187
MEHEDINTI,5356,656,900,2140,930,43,593,94
BUCURESTI,13037,22,67,2325,4852,427,2156,3188
MURES,5950,800,2055,1465,829,53,548,200
NEAMT,5636,481,963,1901,895,62,1168,166
OLT,7378,598,912,2707,1741,97,1206,117
PRAHOVA,5766,498,998,1520,1241,93,1091,325
SALAJ,4384,456,1446,1192,612,72,451,155
SATU MARE,4482,745,1738,1337,296,20,278,68
SIBIU,3572,298,1216,779,559,36,473,211
SUCEAVA,10061,933,2179,3381,1565,133,1551,319
TELEORMAN,8450,763,1282,3890,1484,42,884,105
TIMIS,2808,301,311,517,872,43,344,420
TULCEA,2472,0,681,753,624,0,338,76
VALCEA,4639,160,454,1280,1369,89,1026,261
VASLUI,8515,478,2093,3710,1020,52,1089,73
VRANCEA,4954,319,1536,1789,771,29,417,93
TOTAL,225424,19363,46399,69160,45843,2770,31128,10761
