JUDET,"Total someri, din care: ",fara studii,invatamant primar ,invatamant gimnazial ,invatamant liceal,invatamant posticeal,invatamant profesional/arte si meserii,invatamant universitar
ALBA,4757,365,793,1566,1128,55,640,210
ARAD,2378,435,276,641,570,29,258,169
ARGES,7934,422,1969,2571,1389,114,1132,337
BACAU,5862,419,950,2110,1364,60,775,184
BIHOR,2699,241,510,615,632,98,326,277
BISTRITA NASAUD,3934,249,507,1150,1084,44,682,218
BOTOSANI,3361,149,580,1263,781,25,478,85
BRAILA,3392,567,730,1160,379,40,406,110
BRASOV,5186,730,1393,1530,818,44,440,231
BUZAU,7446,775,1784,2522,1118,40,1121,86
CALARASI,3328,333,737,1024,620,37,433,144
CARAS-SEVERIN,2337,282,319,542,740,34,287,133
CLUJ,4069,622,793,960,690,75,629,300
CONSTANTA,4726,702,815,1104,1341,44,451,269
COVASNA,3564,382,1109,697,906,17,376,77
DAMBOVITA,4729,497,1174,1694,757,18,466,123
DOLJ,15072,772,4618,4724,3009,97,1582,270
GALATI,10872,1228,2212,3934,1931,66,1219,282
GIURGIU,2066,203,288,938,476,14,107,40
GORJ,4030,0,433,1183,1294,69,820,231
HARGHITA,4605,699,1348,890,1001,40,490,137
HUNEDOARA,5795,455,673,1528,1735,89,915,400
IALOMITA,3296,336,842,1163,431,28,462,34
IASI,8200,528,1676,2637,1181,78,1848,252
ILFOV,895,121,244,213,184,9,58,66
MARAMURES,3273,115,719,894,819,77,485,164
MEHEDINTI,5149,635,887,2062,852,46,581,86
BUCURESTI,13270,22,68,2357,4936,439,2190,3258
MURES,5852,771,2021,1522,771,46,535,186
NEAMT,5471,467,922,1929,898,59,1047,149
OLT,7326,619,908,2739,1702,74,1175,109
PRAHOVA,5820,485,984,1542,1341,61,1090,317
SALAJ,4354,445,1423,1194,665,50,441,136
SATU MARE,4428,726,1741,1297,311,15,275,63
SIBIU,3443,275,1107,776,554,36,493,202
SUCEAVA,9990,931,2146,3314,1609,111,1551,328
TELEORMAN,8150,799,1334,3680,1343,37,862,95
TIMIS,2756,306,286,473,896,34,350,411
TULCEA,2391,0,704,676,606,0,328,77
VALCEA,4270,144,431,1244,1203,83,936,229
VASLUI,8561,469,2098,3740,1048,55,1079,72
VRANCEA,5007,322,1552,1810,792,40,404,87
TOTAL,224044,19043,46104,69608,45905,2527,30223,10634
