JUDET,"Total someri, din care: ",fara studii,invatamant primar ,invatamant gimnazial ,invatamant liceal,invatamant posticeal,invatamant profesional/arte si meserii,invatamant universitar
ALBA,5443,398,979,1739,1295,63,706,263
ARAD,2348,425,254,644,584,24,250,167
ARGES,8082,421,1954,2608,1468,119,1164,348
BACAU,5277,373,833,1986,1059,55,771,200
BIHOR,2859,265,538,663,667,82,349,295
BISTRITA NASAUD,4677,258,479,1454,1303,72,858,253
BOTOSANI,3305,159,610,1257,686,39,478,76
BRAILA,3447,432,787,1229,384,49,454,112
BRASOV,5352,726,1583,1621,739,38,405,240
BUZAU,7346,781,1785,2540,978,44,1109,109
CALARASI,3425,342,769,1079,680,28,413,114
CARAS-SEVERIN,2320,275,368,533,680,35,293,136
CLUJ,4238,652,831,1012,687,83,667,306
CONSTANTA,5453,779,913,1284,1483,88,584,322
COVASNA,3264,411,1051,597,809,21,294,81
DAMBOVITA,4667,429,1122,1629,773,31,515,168
DOLJ,16408,818,4783,5260,3372,138,1653,384
GALATI,9317,1087,1815,3137,1799,79,1088,312
GIURGIU,2186,224,290,949,535,11,126,51
GORJ,4263,0,464,1238,1320,79,923,239
HARGHITA,5017,800,1497,975,993,54,515,183
HUNEDOARA,6278,502,810,1592,1800,120,1007,447
IALOMITA,3619,377,891,1307,470,35,499,40
IASI,8338,537,1748,2655,1179,109,1870,240
ILFOV,839,100,242,180,177,11,61,68
MARAMURES,3397,130,722,963,783,83,504,212
MEHEDINTI,5580,694,911,2151,1046,52,602,124
BUCURESTI,12963,23,70,2315,4811,425,2140,3179
MURES,6412,897,2222,1574,868,53,577,221
NEAMT,6014,514,1012,2024,949,67,1265,183
OLT,7920,623,917,1189,1979,101,2963,148
PRAHOVA,5778,493,1033,1526,1244,86,1069,327
SALAJ,4555,503,1512,1239,612,69,467,153
SATU MARE,4654,794,1855,1364,290,21,268,62
SIBIU,3940,328,1353,905,595,33,504,222
SUCEAVA,10375,989,2284,3499,1561,142,1578,322
TELEORMAN,8583,831,1279,3925,1528,44,861,115
TIMIS,2831,345,312,521,844,52,344,413
TULCEA,2572,0,260,1223,632,0,379,78
VALCEA,4953,168,509,1341,1478,91,1091,275
VASLUI,8529,480,2109,3742,970,51,1100,77
VRANCEA,5044,320,1527,1857,760,36,442,102
TOTAL,231868,19703,47283,70526,46870,2913,33206,11367
